,Pepper__bell___Bacterial_spot,Pepper__bell___healthy,Potato___Early_blight,Potato___Late_blight,Potato___healthy,Tomato_Bacterial_spot,Tomato_Early_blight,Tomato_Late_blight,Tomato_Leaf_Mold,Tomato_Septoria_leaf_spot,Tomato_Spider_mites_Two_spotted_spider_mite,Tomato__Target_Spot,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Tomato_mosaic_virus,Tomato_healthy
Pepper__bell___Bacterial_spot,937,12,0,4,0,7,10,3,6,8,3,3,3,0,1
Pepper__bell___healthy,55,1393,0,0,8,3,0,0,5,1,1,3,1,0,8
Potato___Early_blight,3,0,948,21,0,2,3,2,0,20,0,1,0,0,0
Potato___Late_blight,1,1,6,932,14,6,2,9,1,2,16,9,0,0,1
Potato___healthy,1,1,0,9,128,0,0,0,0,1,2,2,0,0,8
Tomato_Bacterial_spot,0,0,0,1,0,2016,0,3,9,38,5,53,2,0,0
Tomato_Early_blight,1,0,9,10,0,152,468,58,24,101,62,104,3,0,8
Tomato_Late_blight,0,1,0,82,0,34,47,1535,35,47,49,70,1,0,8
Tomato_Leaf_Mold,0,0,0,3,0,35,12,7,754,43,68,26,2,0,2
Tomato_Septoria_leaf_spot,4,0,8,1,0,106,8,2,23,1506,35,64,3,2,9
Tomato_Spider_mites_Two_spotted_spider_mite,0,0,0,2,2,2,0,0,6,7,1445,139,0,0,73
Tomato__Target_Spot,2,0,0,2,0,22,4,0,3,38,82,1146,1,0,104
Tomato__Tomato_YellowLeaf__Curl_Virus,3,0,0,0,0,59,1,0,35,12,128,45,2917,5,3
Tomato__Tomato_mosaic_virus,0,0,0,0,0,0,0,0,27,29,95,5,3,207,7
Tomato_healthy,0,0,0,0,1,0,0,0,0,3,4,31,0,0,1552
