class,precision,recall,f1,support
Pepper__bell___Bacterial_spot,0.9304865938430983,0.9398194583751254,0.935129740518962,997
Pepper__bell___healthy,0.9893465909090909,0.942489851150203,0.9653499653499653,1478
Potato___Early_blight,0.976313079299691,0.948,0.9619482496194824,1000
Potato___Late_blight,0.8734770384254921,0.932,0.9017900338655056,1000
Potato___healthy,0.8366013071895425,0.8421052631578947,0.839344262295082,152
Tomato_Bacterial_spot,0.8248772504091653,0.9478138222849083,0.8820826952526799,2127
Tomato_Early_blight,0.8432432432432433,0.468,0.6019292604501608,1000
Tomato_Late_blight,0.9481161210623842,0.8040859088528025,0.8701814058956916,1909
Tomato_Leaf_Mold,0.8125,0.792016806722689,0.8021276595744681,952
Tomato_Septoria_leaf_spot,0.8114224137931034,0.8503670242800677,0.8304383788254756,1771
Tomato_Spider_mites_Two_spotted_spider_mite,0.7243107769423559,0.8621718377088305,0.7872514301280306,1676
Tomato__Target_Spot,0.673721340388007,0.8162393162393162,0.7381642512077294,1404
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9935286103542235,0.90928927680798,0.9495442708333334,3208
Tomato__Tomato_mosaic_virus,0.9672897196261683,0.5549597855227882,0.7052810902896082,373
Tomato_healthy,0.8699551569506726,0.9754871150219987,0.9197037037037037,1591
