,Pepper__bell___Bacterial_spot,Pepper__bell___healthy,Potato___Early_blight,Potato___Late_blight,Potato___healthy,Tomato_Bacterial_spot,Tomato_Early_blight,Tomato_Late_blight,Tomato_Leaf_Mold,Tomato_Septoria_leaf_spot,Tomato_Spider_mites_Two_spotted_spider_mite,Tomato__Target_Spot,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Tomato_mosaic_virus,Tomato_healthy
Pepper__bell___Bacterial_spot,954,12,0,5,0,8,3,2,2,9,0,1,1,0,0
Pepper__bell___healthy,106,1355,0,1,9,2,0,0,3,0,0,0,0,0,2
Potato___Early_blight,2,0,951,33,0,0,1,0,0,12,0,1,0,0,0
Potato___Late_blight,0,0,4,952,20,2,3,8,1,1,3,6,0,0,0
Potato___healthy,1,1,0,7,135,0,0,0,1,1,0,0,0,0,6
Tomato_Bacterial_spot,0,0,1,10,0,1962,4,5,25,55,2,63,0,0,0
Tomato_Early_blight,2,0,13,26,0,96,477,77,35,101,24,126,3,7,13
Tomato_Late_blight,0,1,0,178,1,17,37,1529,32,28,20,63,0,1,2
Tomato_Leaf_Mold,0,0,0,4,0,16,13,5,833,24,40,13,1,3,0
Tomato_Septoria_leaf_spot,4,0,6,5,1,122,7,6,60,1475,22,38,0,13,12
Tomato_Spider_mites_Two_spotted_spider_mite,1,0,0,7,1,4,1,2,32,8,1391,158,0,10,61
Tomato__Target_Spot,3,1,1,5,0,19,2,0,15,55,77,1043,1,2,180
Tomato__Tomato_YellowLeaf__Curl_Virus,5,0,0,1,0,99,2,2,84,10,84,48,2840,33,0
Tomato__Tomato_mosaic_virus,0,0,0,0,0,0,0,0,26,4,18,2,1,322,0
Tomato_healthy,0,0,0,0,1,0,0,0,2,6,4,7,0,0,1571
