class,per_class_accuracy
Pepper__bell___Bacterial_spot,0.9568706118355065
Pepper__bell___healthy,0.9167794316644113
Potato___Early_blight,0.951
Potato___Late_blight,0.952
Potato___healthy,0.8881578947368421
Tomato_Bacterial_spot,0.922425952045134
Tomato_Early_blight,0.477
Tomato_Late_blight,0.8009429020429544
Tomato_Leaf_Mold,0.875
Tomato_Septoria_leaf_spot,0.8328627893845285
Tomato_Spider_mites_Two_spotted_spider_mite,0.8299522673031027
Tomato__Target_Spot,0.7428774928774928
Tomato__Tomato_YellowLeaf__Curl_Virus,0.885286783042394
Tomato__Tomato_mosaic_virus,0.8632707774798928
Tomato_healthy,0.9874292897548711
