class,precision,recall,f1,support
Pepper__bell___Bacterial_spot,0.8849721706864564,0.9568706118355065,0.9195180722891566,997
Pepper__bell___healthy,0.9890510948905109,0.9167794316644113,0.9515449438202247,1478
Potato___Early_blight,0.9743852459016393,0.951,0.9625506072874493,1000
Potato___Late_blight,0.7714748784440842,0.952,0.8522829006266786,1000
Potato___healthy,0.8035714285714286,0.8881578947368421,0.84375,152
Tomato_Bacterial_spot,0.835960801022582,0.922425952045134,0.8770675011175681,2127
Tomato_Early_blight,0.8672727272727273,0.477,0.6154838709677419,1000
Tomato_Late_blight,0.934596577017115,0.8009429020429544,0.86262341325811,1909
Tomato_Leaf_Mold,0.7237185056472633,0.875,0.7922016167379934,952
Tomato_Septoria_leaf_spot,0.8244829513694801,0.8328627893845285,0.8286516853932584,1771
Tomato_Spider_mites_Two_spotted_spider_mite,0.8255192878338279,0.8299522673031027,0.8277298423088366,1676
Tomato__Target_Spot,0.6647546207775653,0.7428774928774928,0.701648166834847,1404
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9975412715138743,0.885286783042394,0.9380677126341866,3208
Tomato__Tomato_mosaic_virus,0.8235294117647058,0.8632707774798928,0.8429319371727748,373
Tomato_healthy,0.850568489442339,0.9874292897548711,0.9139034322280396,1591
