class,precision,recall,f1,support
Tomato_Bacterial_spot,0.9044995408631772,0.926187118006582,0.9152148664343787,2127
Tomato_Early_blight,0.9680638722554891,0.485,0.6462358427714857,1000
Tomato_Late_blight,0.9420442571127503,0.9366160293347302,0.9393223010244287,1909
Tomato_Leaf_Mold,0.8076208178438662,0.9128151260504201,0.8570019723865878,952
Tomato_Septoria_leaf_spot,0.8757159221076747,0.8633540372670807,0.8694910435029855,1771
Tomato_Spider_mites_Two_spotted_spider_mite,0.8219326818675353,0.9033412887828163,0.8607163160886867,1676
Tomato__Target_Spot,0.7547554347826086,0.7913105413105413,0.7726008344923505,1404
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9808537350910232,0.9741271820448878,0.9774788864560525,3208
Tomato__Tomato_mosaic_virus,0.9327485380116959,0.8552278820375335,0.8923076923076924,373
Tomato_healthy,0.884180790960452,0.9836580766813325,0.9312704552216602,1591
