weight before,water amount,weight_delta,hour_of_day,day_of_experiment,genotype_code,population,treatment_code,Growth_Milestone,Cluster
438.0,187.0,187.0,17,0,Dr,6,AD,3.0,2
492.0,133.0,138.0,17,0,Dr,7,AC,4.0,2
489.0,136.0,138.0,17,0,Dr,2,AC,4.0,2
483.0,142.0,136.0,17,0,Dp,2,AE,3.0,2
460.0,165.0,167.0,17,0,Dr,2,AE,4.0,2
472.0,153.0,155.0,17,0,Dr,3,AB,4.0,2
487.0,138.0,139.0,17,0,Dr,8,AD,4.0,2
458.0,167.0,173.0,17,0,Dr,6,AD,4.0,2
443.0,182.0,189.0,17,0,Dr,5,AA,4.0,2
495.0,130.0,110.0,17,0,Dr,5,AC,3.0,2
493.0,132.0,105.0,17,0,Dp,1,AA,3.0,2
449.0,176.0,139.0,17,0,Dr,8,AC,3.0,2
492.0,133.0,138.0,17,0,Dr,8,AB,4.0,2
491.0,134.0,135.0,17,0,Dr,6,AB,4.0,2
483.0,142.0,103.0,17,0,Dr,4,AD,3.0,2
470.0,155.0,149.0,17,0,Dp,1,AA,3.0,2
480.0,145.0,146.0,17,0,Dr,4,AA,4.0,2
489.0,136.0,137.0,17,0,Dr,1,AE,4.0,2
488.0,137.0,142.0,17,0,Dr,3,AE,4.0,2
472.0,153.0,146.0,17,0,Dp,1,AA,3.0,2
474.0,151.0,146.0,17,0,Dr,8,AE,3.0,2
494.0,131.0,131.0,17,0,Dr,7,AA,3.0,2
529.0,96.0,100.0,17,0,Dp,2,AA,4.0,2
546.0,79.0,76.0,17,0,Dp,2,AB,3.0,1
483.0,142.0,144.0,17,0,Dr,5,AC,4.0,2
480.0,145.0,146.0,17,0,Dr,1,AB,4.0,2
487.0,138.0,142.0,17,0,Dr,8,AA,4.0,2
483.0,142.0,137.0,17,0,Dr,3,AC,3.0,2
461.0,164.0,166.0,17,0,Dr,2,AD,4.0,2
495.0,130.0,134.0,17,0,Dp,1,AB,4.0,2
493.0,132.0,133.0,17,0,Dp,2,AE,4.0,2
443.0,182.0,175.0,17,0,Dr,6,AD,3.0,2
499.0,126.0,130.0,17,0,Dr,1,AC,4.0,2
448.0,177.0,179.0,17,0,Dr,6,AA,4.0,2
472.0,153.0,158.0,17,0,Dr,5,AD,4.0,2
468.0,157.0,152.0,17,0,Dr,6,AA,3.0,2
460.0,165.0,167.0,17,0,Dr,5,AB,4.0,2
468.0,157.0,163.0,17,0,Dp,1,AE,4.0,2
502.0,123.0,119.0,17,0,Dr,1,AB,3.0,2
489.0,136.0,137.0,17,0,Dr,2,AC,4.0,2
465.0,160.0,165.0,17,0,Dp,1,AA,4.0,2
503.0,122.0,117.0,17,0,Dr,4,AC,3.0,2
469.0,156.0,157.0,17,0,Dr,4,AD,4.0,2
463.0,162.0,161.0,17,0,Dr,6,AC,3.0,2
477.0,148.0,153.0,17,0,Dr,7,AA,4.0,2
474.0,151.0,146.0,17,0,Dr,7,AD,3.0,2
471.0,154.0,155.0,17,0,Dr,3,AE,4.0,2
509.0,116.0,120.0,17,0,Dr,1,AB,4.0,2
486.0,139.0,140.0,17,0,Dp,2,AD,4.0,2
479.0,146.0,142.0,17,0,Dp,1,AE,3.0,2
